arch,method,seed,severity,corruption,error
Standard,norm,1,5,brightness,8.39
Standard,norm,1,5,contrast,12.63
Standard,norm,1,5,defocus_blur,12.82
Standard,norm,1,5,elastic_transform,23.76
Standard,norm,1,5,fog,15.26
Standard,norm,1,5,frost,17.39
Standard,norm,1,5,gaussian_noise,28.08
Standard,norm,1,5,glass_blur,35.28
Standard,norm,1,5,impulse_noise,36.27
Standard,norm,1,5,jpeg_compression,27.3
Standard,norm,1,5,motion_blur,14.17
Standard,norm,1,5,pixelate,19.66
Standard,norm,1,5,shot_noise,26.12
Standard,norm,1,5,snow,17.28
Standard,norm,1,5,zoom_blur,12.13
Standard,source,1,5,brightness,9.3
Standard,source,1,5,contrast,46.69
Standard,source,1,5,defocus_blur,46.94
Standard,source,1,5,elastic_transform,26.59
Standard,source,1,5,fog,26.01
Standard,source,1,5,frost,41.3
Standard,source,1,5,gaussian_noise,72.33
Standard,source,1,5,glass_blur,54.32
Standard,source,1,5,impulse_noise,72.92
Standard,source,1,5,jpeg_compression,30.3
Standard,source,1,5,motion_blur,34.75
Standard,source,1,5,pixelate,58.45
Standard,source,1,5,shot_noise,65.71
Standard,source,1,5,snow,25.07
Standard,source,1,5,zoom_blur,42.02
Standard,tent,1,5,brightness,7.85
Standard,tent,1,5,contrast,12.08
Standard,tent,1,5,defocus_blur,11.94
Standard,tent,1,5,elastic_transform,21.97
Standard,tent,1,5,fog,13.67
Standard,tent,1,5,frost,16.18
Standard,tent,1,5,gaussian_noise,24.81
Standard,tent,1,5,glass_blur,31.82
Standard,tent,1,5,impulse_noise,33.05
Standard,tent,1,5,jpeg_compression,24.21
Standard,tent,1,5,motion_blur,13.71
Standard,tent,1,5,pixelate,17.29
Standard,tent,1,5,shot_noise,23.49
Standard,tent,1,5,snow,15.9
Standard,tent,1,5,zoom_blur,10.79
Standard,tent,2,5,brightness,7.85
Standard,tent,2,5,contrast,12.08
Standard,tent,2,5,defocus_blur,11.94
Standard,tent,2,5,elastic_transform,21.97
Standard,tent,2,5,fog,13.67
Standard,tent,2,5,frost,16.18
Standard,tent,2,5,gaussian_noise,24.81
Standard,tent,2,5,glass_blur,31.82
Standard,tent,2,5,impulse_noise,33.05
Standard,tent,2,5,jpeg_compression,24.21
Standard,tent,2,5,motion_blur,13.71
Standard,tent,2,5,pixelate,17.29
Standard,tent,2,5,shot_noise,23.49
Standard,tent,2,5,snow,15.9
Standard,tent,2,5,zoom_blur,10.79
